work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
W0001,PS00001,PS,1,en,AG0001,,"In the essay Lu Xun ""critized the large-scale suppression of speech and writing during the Qing dynasty and the early Republican era for producing a ""silent China"" ... for centuries",,2017-07-03,LH,2020-04-05,DP
W0002,PS00002,PS,2,en,AG0629,,,,2017-07-12,OS,2020-04-05,DP
W0003,PS00004,PS,4,en,AG0075,,,,2017-07-12,OS,2020-04-05,DP
W0004,PS00010,PS,10,en,AG0077,,,,2017-07-12,OS,2020-04-05,DP
W0005,PS00013,PS,13,en,AG0107,,,,2017-07-19,LH,2020-04-05,DP
W0006,PS00015,PS,15,en,AG0107,,,,2017-07-19,LH,2020-04-05,DP
W0007,PS00022,PS,22,de,AG0110,,http://epaper.gmw.cn/blqs/html/2012-01/07/nw.D110000blqs_20120107_3-08.htm?div=-1,,2017-07-19,OS,2020-04-05,DP
W0008,PS00023,PS,23,en,AG0111,,,,2017-07-20,OS,2020-04-05,DP
W0009,PS00024,PS,24,en,AG0112,,,,2017-07-25,MG,2020-04-05,DP
W0010,PS00025,PS,25,en,AG0001,,Letters between Two has been translated into English by Bonnie MacDougall. These are the heavily edited love letters between Lu Xun and his wife Xu Guangping,,2017-07-27,LH,2020-04-05,DP
W0011,PS00028,PS,28,en,AG0001,,,,2017-07-28,LH,2020-04-05,DP
W0012,PS00040,PS,40,fr,AG0091,,手抄本. First french edition of Les Fleurs du Mal 1857,,2017-08-07,MG,2020-04-05,DP
W0013,PS00041,PS,41,fr,AG0091,,,,2017-08-07,MG,2020-04-05,DP
W0014,PS00042,PS,42,fr,AG0091,,,,2017-08-07,MG,2020-04-05,DP
W0015,PS00050,PS,50,zh,AG0081,,"1902 Andreev published a short book called ""В тумане"" (ru) ""In the Fog"" (en) nowadays 雾中 (zh) its relation to the one mentioned by Guo Shiying is unknown",,2017-08-20,MG,2020-04-05,DP
W0016,PS00051,PS,51,en,AG0083,,Translated by project member,,2017-08-20,MG,2020-04-05,DP
W0017,PS00052,PS,52,fr,AG0090,,This book is a novella from the philosophical part from Balzac‘s La Comédie Humaine. First french edition 1837,,2017-08-25,MG,2020-04-05,DP
W0018,PS00053,PS,53,fr,AG0090,,A novel in Scènes de la vie en province in La Comédie Humaine. First french edition 1833,,2017-08-25,MG,2020-04-05,DP
W0019,PS00055,PS,55,en,AG0627,,a weekly newspaper,,2017-08-26,MG,2020-04-05,DP
W0020,PS00056,PS,56,en,AG0086,,,,2017-08-26,MG,2020-04-05,DP
W0021,PS00057,PS,57,en,AG0088,,,,2017-08-26,MG,2020-04-05,DP
W0022,PS00059,PS,59,en,AG0126,,During the early CR there circulated a translated manuscript. First Italian edition published in 1913.,,2018-04-25,MG,2020-04-05,DP
W0023,PS00060,PS,60,fr,AG0092,,,,2017-08-31,MG,2020-04-05,DP
W0024,PS00062,PS,62,en,AG0009,,the novel was first finished in 1974 but not published until 1979 in a revised version,,2017-09-06,MG,2020-04-05,DP
W0025,PS00063,PS,63,en,AG0009,,this poem was published in the underground magazine Jintian in 1978. first finished in 1973 and revised in 1978,,2017-09-06,MG,2020-04-05,DP
W0026,PS00064,PS,64,en,AG0009,,Translated by project member,,2017-09-06,MG,2020-04-05,DP
W0027,PS00065,PS,65,en,AG0009,,Translated by project member,,2017-09-08,MG,2020-04-05,DP
W0028,PS00066,PS,66,en,AG0009,,Translated by project member,,2017-09-08,MG,2020-04-05,DP
W0029,PS00067,PS,67,en,AG0009,,this poem was written between 1979 and 1983. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0030,PS00068,PS,68,en,AG0009,,this poem was written between 1970 and 1978. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0031,PS00069,PS,69,en,AG0009,,this poem was written between 1979 and 1983. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0032,PS00070,PS,70,en,AG0097,,http://blog.boxun.com/hero/201410/blqwz/1_1.shtml. Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0033,PS00071,PS,71,en,AG0118,,Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0034,PS00072,PS,72,en,AG0118,,Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0035,PS00073,PS,73,en,AG0102,,,,2017-09-15,MG,2020-04-05,DP
W0036,PS00074,PS,74,en,AG0129,,,,2017-09-22,MG,2020-04-05,DP
W0037,PS00076,PS,76,fr,AG0131,,Translated by Meng An 孟安.,,2017-09-22,MG,2020-04-05,DP
W0038,PS00077,PS,77,en,AG0132,,,,2017-09-22,MG,2020-04-05,DP
W0039,PS00078,PS,78,zh,AG0135,,,,2017-09-24,CW,2020-04-05,DP
W0040,PS00082,PS,82,en,AG0136,,,,2017-09-27,MG,2020-04-05,DP
